# IPTV 频道列表 - Generated: 2026-09-23 16:07:33 UTC
# 频道总数: 432
# 央视频道,30
# 卫视频道,44
# 上海频道,9
# 云南频道,16
# 内蒙频道,7
# 北京频道,4
# 卫视频道,1
# 吉林频道,5
# 四川频道,18
# 天津频道,2
# 宁夏频道,2
# 安徽频道,18
# 山东频道,12
# 山西频道,2
# 广东频道,13
# 广西频道,3
# 新疆频道,8
# 江苏频道,8
# 江西频道,1
# 河北频道,13
# 河南频道,6
# 浙江频道,31
# 海南频道,1
# 湖北频道,2
# 湖南频道,20
# 甘肃频道,11
# 福建频道,16
# 贵州频道,1
# 辽宁频道,8
# 重庆频道,4
# 陕西频道,8
# 青海频道,1
# 黑龙江频道,3
# 港澳台频道,15
# 文旅频道,9
# 新闻频道,2
# 体育频道,3
# 影视频道,3
# 少儿动漫,3
# 纪录人文,1
# 音乐频道,3
# 生活购物,1
# 其他频道,64

央视频道,#genre#
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV-5,http://173.208.212.130:8181/720p/cctv5.m3u8
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-6电影,http://8.138.7.223/tv/1905.php?id=LIVE3YPYZ30E7V1R0
CCTV-7,http://69.30.245.50/live/cctv7.m3u8
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10,http://69.30.245.50/live/cctv10.m3u8
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14,http://198.204.228.26/live/cctv14hd.m3u8
CCTV-15,http://198.204.228.26/live/cctv15hd.m3u8
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
卫视频道,#genre#
tvg-id="宁夏卫视" tvg-name="宁夏卫视" tvg-logo="https://gitee.com/suxuang/logo/raw/master/mylogo/宁夏卫视.png" group-title="卫视频道",宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
tvg-id="河北卫视" tvg-name="河北卫视" tvg-logo="https://gitee.com/suxuang/logo/raw/master/mylogo/河北卫视.png" group-title="卫视频道",河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
三沙卫视,http://107.150.60.122/live/ssws.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
云南卫视,http://107.150.60.122/live/ynwshd.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
内蒙古卫视,http://107.150.60.122/live/nmgws.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
北京卫视,http://107.150.60.122/live/bjwshd.m3u8
厦门卫视,http://107.150.60.122/live/xmws.m3u8
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8
四川卫视,http://107.150.60.122/live/scwshd.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
宁夏卫视,http://107.150.60.122/live/nxws.m3u8
安徽卫视,http://107.150.60.122/live/ahwshd.m3u8
山东卫视,http://198.204.228.26/live/sdwshd.m3u8
山西卫视,http://107.150.60.122/live/sxwshd.m3u8
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
新疆卫视,http://107.150.60.122/live/xjws.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
江西卫视,http://107.150.60.122/live/jxwshd.m3u8
河北卫视,http://204.12.221.218:8181/3m1080p/hews.m3u8
河南卫视,http://173.208.212.130:8181/720p/haws.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8
湖南卫视4K,http://8.138.7.223/tv/api.php?id=hnws4k
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd
福建海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
